l_1,l_2,l_3,Var2
0,0,0,0
0.072,0.024,0.0144,0.01
0.144,0.048,0.0288,0.02
0.216,0.072,0.0432,0.03
0.288,0.096,0.0576,0.04
0.36,0.12,0.072,0.05
0.432,0.144,0.0864,0.06
0.504,0.168,0.1008,0.07
0.576,0.192,0.1152,0.08
0.648,0.216,0.1296,0.09
0.72,0.24,0.144,0.1
0.792,0.264,0.1584,0.11
0.864,0.288,0.1728,0.12
0.936,0.312,0.1872,0.13
1.008,0.336,0.2016,0.14
1.08,0.36,0.216,0.15
1.152,0.384,0.2304,0.16
1.224,0.408,0.2448,0.17
1.296,0.432,0.2592,0.18
1.368,0.456,0.2736,0.19
1.44,0.48,0.288,0.2
1.512,0.504,0.3024,0.21
1.584,0.528,0.3168,0.22
1.656,0.552,0.3312,0.23
1.728,0.576,0.3456,0.24
1.8,0.6,0.36,0.25
1.872,0.624,0.3744,0.26
1.944,0.648,0.3888,0.27
2.016,0.672,0.4032,0.28
2.088,0.696,0.4176,0.29
2.16,0.72,0.432,0.3
2.232,0.744,0.4464,0.31
2.304,0.768,0.4608,0.32
2.376,0.792,0.4752,0.33
2.448,0.816,0.4896,0.34
2.52,0.84,0.504,0.35
2.592,0.864,0.5184,0.36
2.664,0.888,0.5328,0.37
2.736,0.912,0.5472,0.38
2.808,0.936,0.5616,0.39
2.88,0.96,0.576,0.4
2.952,0.984,0.5904,0.41
3.024,1.008,0.6048,0.42
3.096,1.032,0.6192,0.43
3.168,1.056,0.6336,0.44
3.24,1.08,0.648,0.45
3.312,1.104,0.6624,0.46
